serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAQE40LGG,09/14/2016 12:00:00 AM,DARABAR SECRET THAI CUISINE,91,A,1,ROUTINE INSPECTION,EE0000857,5112 HOLLYWOOD BLVD # 108-0,LOS ANGELES,FA0060645,CA,90027,OW0032106,"SEESOD, PRAKOPSUP",RESTAURANT (31-60) SEATS HIGH RISK,1635,DARABAR SECRET THAI CUISINE,ACTIVE,PR0031093
DAZAVOYQB,09/14/2016 12:00:00 AM,DOMINO'S PIZZA #8341,93,A,1,ROUTINE INSPECTION,EE0000740,4746 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0019506,CA,90022,OW0031266,"SALABI, MALMOOND",RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA #8341,ACTIVE,PR0023806
DATNMY0G0,09/14/2016 12:00:00 AM,VONS MARKET #2655,99,A,1,ROUTINE INSPECTION,EE0000162,7311 N FIGUEROA ST,LOS ANGELES,FA0054446,CA,90041,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,VONS #2655 DELI,ACTIVE,PR0029764
DAZ3YDBOZ,09/14/2016 12:00:00 AM,CALIFORNIA DONUTS,92,A,1,ROUTINE INSPECTION,EE0000699,3540 W 3RD ST,LOS ANGELES,FA0012533,CA,90020,OW0020089,"KUOCH,CHIN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,CALIFORNIA DONUTS,ACTIVE,PR0045739
DAIJPJCJK,09/14/2016 12:00:00 AM,LALA'S,91,A,1,ROUTINE INSPECTION,EE0000951,7229 MELROSE AVE,LOS ANGELES,FA0065419,CA,90046,OW0020626,LALA'S PARTNERSHIP,RESTAURANT (61-150) SEATS HIGH RISK,1638,LALA'S,ACTIVE,PR0012628
DA2WPPLW7,09/14/2016 12:00:00 AM,GAAM,90,A,1,ROUTINE INSPECTION,EE0000699,3465 W 6TH ST STE 300,LOS ANGELES,FA0024340,CA,90020,OW0037046,"V INVESTMENT, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,GAAM,ACTIVE,PR0045619
DAF350O0U,09/13/2016 12:00:00 AM,GEORGE'S GREEK GRILL,90,A,1,ROUTINE INSPECTION,EE0000721,350 S GRAND AVE STE D-3,LOS ANGELES,FA0175004,CA,90071,OW0181611,"GRAND WATERPARK ENTERTAINMENT, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,GEORGES GREEK GRILL,ACTIVE,PR0168094
DARWAVEVP,09/13/2016 12:00:00 AM,STARBUCKS COFFEE #12900,96,A,1,ROUTINE INSPECTION,EE0000853,5757 WILSHIRE BLVD STE #106,LOS ANGELES,FA0048823,CA,90036,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (31-60) SEATS LOW RISK,1633,STARBUCKS,ACTIVE,PR0008502
DA2NFTRSY,09/14/2016 12:00:00 AM,LOS FELIZ OIL,90,A,1,ROUTINE INSPECTION,EE0000697,3073 LOS FELIZ BLVD,LOS ANGELES,FA0037092,CA,90039,OW0022286,LOS FELIZ OIL INC.,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,LOS FELIZ OIL,ACTIVE,PR0009482
DACECBDAY,09/13/2016 12:00:00 AM,EINSTEIN BROS. BAGELS #3614,94,A,1,ROUTINE INSPECTION,EE0000684,10759 PICO BLVD,LOS ANGELES,FA0138441,CA,90064,OW0010776,EINSTEIN AND NOAH CORP,RESTAURANT (61-150) SEATS MODERATE RISK,1637,EINSTEIN BROS BAGELS,ACTIVE,PR0122760
DAETYE1VV,09/14/2016 12:00:00 AM,MI TROQUITA MINI MARKET,92,A,1,ROUTINE INSPECTION,EE0000728,11839 S VERMONT AVE,LOS ANGELES,FA0040538,CA,90044,OW0014269,"GUITIERREZ, MARGARITA","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,MI TROQUITA MINI MARKET,ACTIVE,PR0042378
DAEYBP0YS,09/14/2016 12:00:00 AM,LUCKY LIQUOR,98,A,1,ROUTINE INSPECTION,EE0000905,2109 W MARTIN LUTHER KING BLVD,LOS ANGELES,FA0224439,CA,90008,OW0228911,SUZY JUNGEUN KWAK,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,LUCKY LIQUOR,ACTIVE,PR0179652
